n_factors_true,n_factors_final,factor_match,n_true_items,n_weak_items,total_items,N,ratio,kmo_overall,meets_kmo_criterion,meets_ratio_criterion,precision,recall,n_iter
3,3,True,12,6,18,161,8.944444444444445,0.7185168450361606,True,True,1.0,0.9166666666666666,8
3,3,True,15,7,22,250,11.363636363636363,0.8184379701485288,True,True,1.0,1.0,8
3,3,True,15,12,27,239,8.851851851851851,0.7870907759124195,True,True,1.0,0.9333333333333333,14
3,3,True,18,7,25,211,8.44,0.8318696727003316,True,True,1.0,1.0,8
3,3,True,18,9,27,204,7.555555555555555,0.8174165336413041,True,True,1.0,1.0,10
3,3,True,12,14,26,266,10.23076923076923,0.7824404665469273,True,True,1.0,1.0,15
3,3,True,12,15,27,280,10.37037037037037,0.7387243334979825,True,True,1.0,1.0,16
2,2,True,6,10,16,169,10.5625,0.7255410302188096,True,True,1.0,1.0,11
2,1,False,6,11,17,150,8.823529411764707,0.6433303170697158,True,True,1.0,0.5,15
2,1,False,6,6,12,150,12.5,0.6366792789993977,True,True,1.0,0.5,10
3,3,True,12,13,25,294,11.76,0.7644011715843554,True,True,1.0,1.0,14
2,1,False,6,6,12,150,12.5,0.6074264901796363,True,True,1.0,0.5,10
3,3,True,18,6,24,180,7.5,0.7828164140966958,True,True,1.0,0.9444444444444444,8
2,2,True,6,5,11,150,13.636363636363637,0.6909450686131676,True,True,1.0,1.0,6
2,2,True,8,9,17,189,11.117647058823529,0.7816309074398743,True,True,1.0,1.0,10
2,2,True,12,11,23,178,7.739130434782608,0.8312953739460964,True,True,1.0,1.0,12
2,2,True,8,5,13,150,11.538461538461538,0.7824129801704645,True,True,1.0,1.0,6
2,2,True,10,9,19,182,9.578947368421053,0.7457746103658268,True,True,1.0,1.0,10
3,3,True,15,13,28,201,7.178571428571429,0.7629889202018065,True,True,1.0,1.0,14
2,2,True,6,6,12,150,12.5,0.7139161236095234,True,True,1.0,1.0,7
3,3,True,12,15,27,275,10.185185185185185,0.7490813587324652,True,True,1.0,0.9166666666666666,17
2,1,False,6,13,19,202,10.631578947368421,0.6299419734053066,True,True,1.0,0.5,17
2,2,True,8,10,18,150,8.333333333333334,0.7927803771884724,True,True,1.0,1.0,11
2,2,True,8,15,23,216,9.391304347826088,0.7285564382980843,True,True,1.0,0.875,17
2,2,True,12,11,23,167,7.260869565217392,0.8207833489301372,True,True,1.0,1.0,12
3,3,True,9,8,17,193,11.352941176470589,0.6325589247985837,True,True,1.0,0.8888888888888888,10
2,2,True,8,8,16,161,10.0625,0.7354127732280269,True,True,1.0,1.0,9
2,2,True,6,9,15,175,11.666666666666666,0.7304147404267761,True,True,1.0,1.0,10
3,3,True,12,7,19,176,9.263157894736842,0.711086821634903,True,True,1.0,0.9166666666666666,9
2,2,True,12,12,24,175,7.291666666666667,0.7632029810169877,True,True,1.0,0.9166666666666666,14
2,2,True,8,5,13,150,11.538461538461538,0.6954516137829001,True,True,1.0,1.0,6
3,3,True,18,8,26,203,7.8076923076923075,0.8335008050714395,True,True,1.0,0.9444444444444444,10
